repetition,grid_width,pop_size,p_occupation,mean_pop_count,resolution_iterations,mean_unresolved_count
2,512,262144,0.16,36588.3,7,0
2,512,262144,0.16,36588.3,8,0
2,512,262144,0.16,36588.3,9,0
2,512,262144,0.32,71526,1,0
2,512,262144,0.32,71526,2,21061
2,512,262144,0.32,71526,3,2510
2,512,262144,0.32,71526,4,57
2,512,262144,0.32,71526,5,0
2,512,262144,0.32,71526,6,0
2,512,262144,0.32,71526,7,0
2,512,262144,0.32,71526,8,0
2,512,262144,0.32,71526,9,0
2,512,262144,0.64,106968,1,0
2,512,262144,0.64,106968,2,45625
2,512,262144,0.64,106968,3,13829
2,512,262144,0.64,106968,4,2171
2,512,262144,0.64,106968,5,114
2,512,262144,0.64,106968,6,1
2,512,262144,0.64,106968,7,0
2,512,262144,0.64,106968,8,0
2,512,262144,0.64,106968,9,0
