repetition,grid_width,pop_size,ms_step_mean
6,832,692224,0.000131
6,896,802816,0.000143
6,960,921600,0.000161
6,1024,1048576,0.000168
6,1088,1183744,0.000193
6,1152,1327104,0.000211
6,1216,1478656,0.00023
6,1280,1638400,0.000233
6,1344,1806336,0.000274
6,1408,1982464,0.000284
6,1472,2166784,0.000283
6,1536,2359296,0.000328
6,1600,2560000,0.000326
6,1664,2768896,0.000343
6,1728,2985984,0.000391
6,1792,3211264,0.000401
6,1856,3444736,0.00041
6,1920,3686400,0.000433
6,1984,3936256,0.000468
6,2048,4194304,0.000478
7,64,4096,2.9e-05
7,128,16384,3e-05
7,192,36864,4.1e-05
7,256,65536,4.3e-05
7,320,102400,5e-05
7,384,147456,5.7e-05
7,448,200704,6.6e-05
7,512,262144,7e-05
7,576,331776,8.3e-05
7,640,409600,8.9e-05
7,704,495616,0.000106
7,768,589824,0.000116
7,832,692224,0.000131
7,896,802816,0.000146
7,960,921600,0.00016
7,1024,1048576,0.000167
7,1088,1183744,0.000194
7,1152,1327104,0.000207
7,1216,1478656,0.000227
7,1280,1638400,0.000238
7,1344,1806336,0.000272
7,1408,1982464,0.000284
7,1472,2166784,0.000275
7,1536,2359296,0.000302
7,1600,2560000,0.000328
7,1664,2768896,0.00035
7,1728,2985984,0.000392
7,1792,3211264,0.000406
7,1856,3444736,0.000407
7,1920,3686400,0.000448
7,1984,3936256,0.000467
7,2048,4194304,0.000485
8,64,4096,3.1e-05
8,128,16384,3.1e-05
8,192,36864,3.9e-05
8,256,65536,4.2e-05
8,320,102400,5.1e-05
8,384,147456,5.7e-05
8,448,200704,6.3e-05
8,512,262144,7.1e-05
8,576,331776,8.1e-05
8,640,409600,9.1e-05
8,704,495616,0.000106
8,768,589824,0.000118
8,832,692224,0.000132
8,896,802816,0.000145
8,960,921600,0.000158
8,1024,1048576,0.000176
8,1088,1183744,0.000184
8,1152,1327104,0.000195
8,1216,1478656,0.000225
8,1280,1638400,0.00023
8,1344,1806336,0.000273
8,1408,1982464,0.000259
8,1472,2166784,0.000298
8,1536,2359296,0.000313
8,1600,2560000,0.000348
8,1664,2768896,0.000355
8,1728,2985984,0.000385
8,1792,3211264,0.00038
8,1856,3444736,0.000437
8,1920,3686400,0.000436
8,1984,3936256,0.0005
8,2048,4194304,0.000486
9,64,4096,3e-05
9,128,16384,3.3e-05
9,192,36864,4.1e-05
9,256,65536,4.3e-05
9,320,102400,5.3e-05
9,384,147456,5.9e-05
9,448,200704,6.3e-05
9,512,262144,7.3e-05
9,576,331776,8.4e-05
9,640,409600,9.3e-05
9,704,495616,0.000106
9,768,589824,0.000118
9,832,692224,0.000129
9,896,802816,0.000146
9,960,921600,0.000161
9,1024,1048576,0.000168
9,1088,1183744,0.000189
9,1152,1327104,0.000204
9,1216,1478656,0.000211
9,1280,1638400,0.000222
9,1344,1806336,0.000266
9,1408,1982464,0.000274
9,1472,2166784,0.000304
9,1536,2359296,0.000317
9,1600,2560000,0.000328
9,1664,2768896,0.000354
9,1728,2985984,0.000386
9,1792,3211264,0.000384
9,1856,3444736,0.000426
9,1920,3686400,0.000453
9,1984,3936256,0.000459
9,2048,4194304,0.000482
