repetition,grid_width,pop_size,p_occupation,step,s_step,pop_count
0,512,262144,0.17,25,0.000584704,25635
0,512,262144,0.17,26,0.000587776,25663
0,512,262144,0.17,27,0.000581632,25541
0,512,262144,0.17,28,0.000587776,25365
0,512,262144,0.17,29,0.000590848,25335
0,512,262144,0.17,30,0.000587776,25173
0,512,262144,0.17,31,0.000586752,25018
0,512,262144,0.17,32,0.000586752,25177
0,512,262144,0.17,33,0.0005888,24951
0,512,262144,0.17,34,0.00058368,24857
0,512,262144,0.17,35,0.000579584,24721
0,512,262144,0.17,36,0.00058368,24760
0,512,262144,0.17,37,0.000581632,24655
0,512,262144,0.17,38,0.000581632,24618
0,512,262144,0.17,39,0.000574464,24431
0,512,262144,0.17,40,0.00059392,24520
0,512,262144,0.17,41,0.000584704,24449
0,512,262144,0.17,42,0.000582656,24494
0,512,262144,0.17,43,0.000581632,24414
0,512,262144,0.17,44,0.000581632,24318
0,512,262144,0.17,45,0.000587776,24286
0,512,262144,0.17,46,0.000581632,24219
0,512,262144,0.17,47,0.000585728,24105
0,512,262144,0.17,48,0.00057856,24033
0,512,262144,0.17,49,0.000594944,24100
0,512,262144,0.17,50,0.00059392,24176
0,512,262144,0.17,51,0.000586752,24080
0,512,262144,0.17,52,0.000581632,24027
0,512,262144,0.17,53,0.00059392,24049
0,512,262144,0.17,54,0.000587776,24008
0,512,262144,0.17,55,0.000591872,24000
0,512,262144,0.17,56,0.000582656,23948
0,512,262144,0.17,57,0.000577536,24018
0,512,262144,0.17,58,0.00058368,23887
0,512,262144,0.17,59,0.000587776,23985
0,512,262144,0.17,60,0.000584704,24009
0,512,262144,0.17,61,0.00058368,23831
0,512,262144,0.17,62,0.000582656,23952
0,512,262144,0.17,63,0.000594944,23896
0,512,262144,0.17,64,0.0005888,23806
0,512,262144,0.17,65,0.00057856,23784
0,512,262144,0.17,66,0.000581632,23753
0,512,262144,0.17,67,0.000580608,23783
0,512,262144,0.17,68,0.000591872,23821
0,512,262144,0.17,69,0.000581632,23835
0,512,262144,0.17,70,0.000589824,23830
0,512,262144,0.17,71,0.000576512,23646
0,512,262144,0.17,72,0.000598016,23762
0,512,262144,0.17,73,0.000587776,23737
0,512,262144,0.17,74,0.000580608,23667
0,512,262144,0.17,75,0.000587776,23750
0,512,262144,0.17,76,0.000577536,23762
0,512,262144,0.17,77,0.000585728,23630
0,512,262144,0.17,78,0.000589824,23712
0,512,262144,0.17,79,0.000582656,23560
0,512,262144,0.17,80,0.000590848,23510
0,512,262144,0.17,81,0.000589824,23684
0,512,262144,0.17,82,0.000590848,23626
0,512,262144,0.17,83,0.000590848,23654
0,512,262144,0.17,84,0.000581632,23533
0,512,262144,0.17,85,0.000582656,23685
0,512,262144,0.17,86,0.000584704,23652
0,512,262144,0.17,87,0.000592896,23568
0,512,262144,0.17,88,0.000587776,23448
0,512,262144,0.17,89,0.000582656,23617
0,512,262144,0.17,90,0.000590848,23584
0,512,262144,0.17,91,0.000584704,23664
0,512,262144,0.17,92,0.000598016,23544
0,512,262144,0.17,93,0.000592896,23475
0,512,262144,0.17,94,0.000596992,23577
0,512,262144,0.17,95,0.000590848,23665
0,512,262144,0.17,96,0.000587776,23446
0,512,262144,0.17,97,0.000587776,23487
0,512,262144,0.17,98,0.000585728,23503
0,512,262144,0.17,99,0.000584704,23552
0,768,589824,0.17,0,0.00748851,87743
0,768,589824,0.17,1,0.00102298,69240
0,768,589824,0.17,2,0.00101786,66449
0,768,589824,0.17,3,0.00101376,66444
0,768,589824,0.17,4,0.00101069,66164
0,768,589824,0.17,5,0.00101478,65325
0,768,589824,0.17,6,0.00101171,64906
0,768,589824,0.17,7,0.00101786,64412
0,768,589824,0.17,8,0.00100557,64193
0,768,589824,0.17,9,0.00100557,63837
0,768,589824,0.17,10,0.00101478,63398
0,768,589824,0.17,11,0.00101274,62846
0,768,589824,0.17,12,0.00101069,62356
0,768,589824,0.17,13,0.00101069,62034
0,768,589824,0.17,14,0.00100659,61833
0,768,589824,0.17,15,0.00100557,61380
0,768,589824,0.17,16,0.00101581,61082
0,768,589824,0.17,17,0.00100762,60625
0,768,589824,0.17,18,0.00101478,60440
0,768,589824,0.17,19,0.00101888,60113
0,768,589824,0.17,20,0.00100659,59606
0,768,589824,0.17,21,0.00101274,59460
0,768,589824,0.17,22,0.00100864,59206
0,768,589824,0.17,23,0.00100864,58971
0,768,589824,0.17,24,0.00100864,58695
0,768,589824,0.17,25,0.00101888,58459
0,768,589824,0.17,26,0.00100454,58141
0,768,589824,0.17,27,0.00100966,57914
0,768,589824,0.17,28,0.00100864,57837
0,768,589824,0.17,29,0.00100864,57713
0,768,589824,0.17,30,0.00101376,57278
0,768,589824,0.17,31,0.00100659,57162
0,768,589824,0.17,32,0.00101581,56976
0,768,589824,0.17,33,0.00100966,56865
0,768,589824,0.17,34,0.00100966,56832
0,768,589824,0.17,35,0.00100762,56459
0,768,589824,0.17,36,0.00100659,56251
0,768,589824,0.17,37,0.00100352,56189
0,768,589824,0.17,38,0.0010025,56147
0,768,589824,0.17,39,0.00100864,56021
0,768,589824,0.17,40,0.00100557,55871
0,768,589824,0.17,41,0.00100352,55746
0,768,589824,0.17,42,0.00100966,55729
0,768,589824,0.17,43,0.00119194,55732
0,768,589824,0.17,44,0.00112947,55509
0,768,589824,0.17,45,0.00100352,55410
0,768,589824,0.17,46,0.00100454,55384
0,768,589824,0.17,47,0.00100352,55281
0,768,589824,0.17,48,0.00100045,55104
0,768,589824,0.17,49,0.00100147,55015
0,768,589824,0.17,50,0.00100045,55056
0,768,589824,0.17,51,0.00100147,54899
0,768,589824,0.17,52,0.00100557,54880
0,768,589824,0.17,53,0.00100966,54879
0,768,589824,0.17,54,0.0010025,54817
0,768,589824,0.17,55,0.00100352,54638
0,768,589824,0.17,56,0.00100762,54699
0,768,589824,0.17,57,0.00100966,54460
0,768,589824,0.17,58,0.00100762,54611
0,768,589824,0.17,59,0.00100966,54599
0,768,589824,0.17,60,0.00100762,54668
0,768,589824,0.17,61,0.000999424,54488
0,768,589824,0.17,62,0.00100147,54356
0,768,589824,0.17,63,0.00100045,54488
0,768,589824,0.17,64,0.00100454,54300
0,768,589824,0.17,65,0.000999424,54397
0,768,589824,0.17,66,0.00100045,54365
0,768,589824,0.17,67,0.00100147,54192
0,768,589824,0.17,68,0.00100454,54189
0,768,589824,0.17,69,0.00100147,54167
0,768,589824,0.17,70,0.00100659,54109
0,768,589824,0.17,71,0.0009984,54127
0,768,589824,0.17,72,0.00100454,53984
0,768,589824,0.17,73,0.00100147,53986
0,768,589824,0.17,74,0.00100659,53899
0,768,589824,0.17,75,0.00100659,53970
0,768,589824,0.17,76,0.00100352,53947
0,768,589824,0.17,77,0.00100557,53896
0,768,589824,0.17,78,0.0010025,53878
0,768,589824,0.17,79,0.00100352,54010
0,768,589824,0.17,80,0.00100045,53912
0,768,589824,0.17,81,0.000997376,53688
0,768,589824,0.17,82,0.00100659,53819
0,768,589824,0.17,83,0.00100352,53659
0,768,589824,0.17,84,0.00100659,53495
0,768,589824,0.17,85,0.000997376,53686
0,768,589824,0.17,86,0.00100352,53766
0,768,589824,0.17,87,0.00100147,53774
0,768,589824,0.17,88,0.0010025,53660
0,768,589824,0.17,89,0.000999424,53694
0,768,589824,0.17,90,0.00100659,53765
0,768,589824,0.17,91,0.00100454,53402
0,768,589824,0.17,92,0.00100352,53534
0,768,589824,0.17,93,0.00100147,53571
0,768,589824,0.17,94,0.0010025,53846
0,768,589824,0.17,95,0.0010025,53548
0,768,589824,0.17,96,0.000999424,53564
0,768,589824,0.17,97,0.000999424,53658
0,768,589824,0.17,98,0.000997376,53683
0,768,589824,0.17,99,0.0010025,53488
0,1024,1048576,0.17,0,0.0117248,155677
0,1024,1048576,0.17,1,0.00156774,123272
0,1024,1048576,0.17,2,0.0015575,118573
0,1024,1048576,0.17,3,0.00155443,118301
0,1024,1048576,0.17,4,0.00155443,117778
0,1024,1048576,0.17,5,0.00154522,116859
0,1024,1048576,0.17,6,0.00154931,115635
0,1024,1048576,0.17,7,0.00155136,114694
0,1024,1048576,0.17,8,0.00154931,114207
0,1024,1048576,0.17,9,0.00154829,113644
0,1024,1048576,0.17,10,0.0015575,113105
0,1024,1048576,0.17,11,0.00154726,112207
0,1024,1048576,0.17,12,0.00154624,111478
0,1024,1048576,0.17,13,0.00154624,110727
0,1024,1048576,0.17,14,0.00155034,110035
0,1024,1048576,0.17,15,0.0015575,109249
0,1024,1048576,0.17,16,0.00154931,108680
0,1024,1048576,0.17,17,0.00154931,108160
0,1024,1048576,0.17,18,0.00155034,107494
0,1024,1048576,0.17,19,0.00154624,106891
0,1024,1048576,0.17,20,0.00154522,106283
0,1024,1048576,0.17,21,0.00154726,105974
0,1024,1048576,0.17,22,0.00155648,105371
0,1024,1048576,0.17,23,0.00154931,105032
0,1024,1048576,0.17,24,0.00154624,104436
0,1024,1048576,0.17,25,0.00154317,103928
0,1024,1048576,0.17,26,0.00155238,103621
0,1024,1048576,0.17,27,0.00155034,103234
0,1024,1048576,0.17,28,0.00154214,102989
0,1024,1048576,0.17,29,0.00154726,102435
0,1024,1048576,0.17,30,0.00154726,102318
0,1024,1048576,0.17,31,0.00154829,101860
0,1024,1048576,0.17,32,0.00154214,101367
0,1024,1048576,0.17,33,0.00154214,101195
0,1024,1048576,0.17,34,0.00154522,101158
0,1024,1048576,0.17,35,0.00155341,100795
0,1024,1048576,0.17,36,0.00154829,100521
0,1024,1048576,0.17,37,0.00153907,99899
0,1024,1048576,0.17,38,0.00154112,99988
0,1024,1048576,0.17,39,0.00154317,99715
0,1024,1048576,0.17,40,0.0015401,99721
0,1024,1048576,0.17,41,0.0015401,99250
0,1024,1048576,0.17,42,0.00153702,99280
0,1024,1048576,0.17,43,0.001536,99121
0,1024,1048576,0.17,44,0.00154624,98893
0,1024,1048576,0.17,45,0.00153805,98518
0,1024,1048576,0.17,46,0.00154317,98579
0,1024,1048576,0.17,47,0.00154419,98270
0,1024,1048576,0.17,48,0.00153907,98590
0,1024,1048576,0.17,49,0.00154112,98084
0,1024,1048576,0.17,50,0.00153702,98057
0,1024,1048576,0.17,51,0.0015401,97843
0,1024,1048576,0.17,52,0.00154317,98001
0,1024,1048576,0.17,53,0.00153395,97675
0,1024,1048576,0.17,54,0.00154214,97408
0,1024,1048576,0.17,55,0.0015401,97487
0,1024,1048576,0.17,56,0.00154317,97207
0,1024,1048576,0.17,57,0.00154112,97359
0,1024,1048576,0.17,58,0.00153907,97523
0,1024,1048576,0.17,59,0.00154829,97299
0,1024,1048576,0.17,60,0.00154317,97130
0,1024,1048576,0.17,61,0.00153395,97007
0,1024,1048576,0.17,62,0.00154317,96937
0,1024,1048576,0.17,63,0.00153907,96834
0,1024,1048576,0.17,64,0.00153702,96993
0,1024,1048576,0.17,65,0.00154112,96681
0,1024,1048576,0.17,66,0.00153805,96570
0,1024,1048576,0.17,67,0.00154112,96737
0,1024,1048576,0.17,68,0.0015401,96405
0,1024,1048576,0.17,69,0.00154419,96574
0,1024,1048576,0.17,70,0.00153395,96062
0,1024,1048576,0.17,71,0.00154624,96180
0,1024,1048576,0.17,72,0.00153907,96350
0,1024,1048576,0.17,73,0.0015401,96181
0,1024,1048576,0.17,74,0.00153907,96175
0,1024,1048576,0.17,75,0.00154829,96285
0,1024,1048576,0.17,76,0.00153498,95815
0,1024,1048576,0.17,77,0.00153702,96128
0,1024,1048576,0.17,78,0.00154317,95926
0,1024,1048576,0.17,79,0.00154214,96080
0,1024,1048576,0.17,80,0.00153805,95730
0,1024,1048576,0.17,81,0.00154522,95855
0,1024,1048576,0.17,82,0.00153498,95875
0,1024,1048576,0.17,83,0.0015401,95746
0,1024,1048576,0.17,84,0.00153907,95979
0,1024,1048576,0.17,85,0.001536,95830
0,1024,1048576,0.17,86,0.00154317,95794
0,1024,1048576,0.17,87,0.00153907,95719
0,1024,1048576,0.17,88,0.00153907,95678
0,1024,1048576,0.17,89,0.00154112,95668
0,1024,1048576,0.17,90,0.00154931,95905
0,1024,1048576,0.17,91,0.00154112,95291
0,1024,1048576,0.17,92,0.00154931,95742
0,1024,1048576,0.17,93,0.00154317,95212
0,1024,1048576,0.17,94,0.00145818,95714
0,1024,1048576,0.17,95,0.00141414,95461
0,1024,1048576,0.17,96,0.00141824,95309
0,1024,1048576,0.17,97,0.00140902,95449
0,1024,1048576,0.17,98,0.0014039,95290
0,1024,1048576,0.17,99,0.00140493,95406
0,1280,1638400,0.17,0,0.0171817,243402
0,1280,1638400,0.17,1,0.00246477,192668
0,1280,1638400,0.17,2,0.00245658,185048
0,1280,1638400,0.17,3,0.0024535,184876
0,1280,1638400,0.17,4,0.00245555,184208
0,1280,1638400,0.17,5,0.0024535,182036
0,1280,1638400,0.17,6,0.00245146,180747
0,1280,1638400,0.17,7,0.00244429,178949
0,1280,1638400,0.17,8,0.00244838,178719
0,1280,1638400,0.17,9,0.00244531,177721
0,1280,1638400,0.17,10,0.00244838,176937
0,1280,1638400,0.17,11,0.00244736,175534
0,1280,1638400,0.17,12,0.00245146,174055
0,1280,1638400,0.17,13,0.00244326,173099
