repetition,grid_width,pop_size,p_occupation,mean_pop_count,resolution_iterations,mean_unresolved_count
2,512,262144,0.16,36577.7,9,0
2,512,262144,0.32,71515.7,1,0
2,512,262144,0.32,71515.7,2,21056
2,512,262144,0.32,71515.7,3,2544
2,512,262144,0.32,71515.7,4,56
2,512,262144,0.32,71515.7,5,0
2,512,262144,0.32,71515.7,6,0
2,512,262144,0.32,71515.7,7,0
2,512,262144,0.32,71515.7,8,0
2,512,262144,0.32,71515.7,9,0
2,512,262144,0.64,107027,1,0
2,512,262144,0.64,107027,2,45720
2,512,262144,0.64,107027,3,13919
2,512,262144,0.64,107027,4,2196
2,512,262144,0.64,107027,5,116
2,512,262144,0.64,107027,6,1
2,512,262144,0.64,107027,7,0
2,512,262144,0.64,107027,8,0
2,512,262144,0.64,107027,9,0
